"","GEOID","total","over_200","percent"
"597","06037212101",1209,0,0
"598","06037212102",1308,0,0
"599","06037212202",1130,0,0
"600","06037212203",1080,0,0
"601","06037212204",1221,0,0
"602","06037212303",1228,34,2.76872964169381
"603","06037212304",780,0,0
"604","06037212305",1011,0,0
"605","06037212306",1195,4,0.334728033472803
"606","06037212410",1635,0,0
"607","06037212420",1182,6,0.50761421319797
"608","06037212501",902,0,0
"609","06037212502",1182,28,2.36886632825719
"610","06037212610",1830,53,2.89617486338798
"611","06037212620",1765,35,1.98300283286119
"612","06037212701",802,20,2.49376558603491
"613","06037212702",1531,247,16.1332462442848
"614","06037212800",1286,21,1.63297045101089
"615","06037212900",1486,6,0.403768506056528
"616","06037213100",967,44,4.55015511892451
"617","06037213201",1394,0,0
"618","06037213202",1234,15,1.21555915721232
"619","06037213310",1114,0,0
"620","06037213320",978,0,0
"621","06037213401",1747,17,0.973096737263881
"622","06037213402",1532,0,0
"623","06037214000",1408,202,14.3465909090909
"624","06037214100",1681,419,24.9256395002974
"625","06037214400",1654,121,7.31559854897219
"626","06037214501",1472,233,15.8288043478261
"627","06037214502",2512,210,8.35987261146497
"628","06037214503",1570,173,11.0191082802548
"629","06037214600",1300,189,14.5384615384615
"630","06037214700",1228,268,21.8241042345277
"631","06037214800",1336,260,19.4610778443114
"632","06037214901",2020,280,13.8613861386139
"633","06037214902",1468,184,12.5340599455041
"634","06037215101",1570,22,1.40127388535032
"635","06037215102",2037,81,3.97643593519882
"636","06037216100",1001,217,21.6783216783217
"637","06037216200",2562,211,8.23575331772053
"638","06037216300",2538,377,14.8542159180457
"639","06037216401",2140,73,3.41121495327103
"640","06037216402",1352,52,3.84615384615385
"641","06037216700",1611,141,8.75232774674116
"642","06037216800",1556,251,16.1311053984576
"643","06037216900",2527,240,9.49742777997626
"644","06037217001",1046,146,13.9579349904398
"645","06037217002",2231,136,6.09592111160914
"646","06037217100",2234,100,4.4762757385855
"647","06037217200",1541,81,5.25632706035042
"648","06037218110",1244,43,3.45659163987138
"649","06037218120",1408,0,0
"650","06037218210",1175,0,0
"651","06037218220",1492,101,6.76943699731904
"652","06037218300",1989,15,0.754147812971342
"653","06037218400",1551,0,0
"654","06037218500",1040,0,0
"655","06037218600",1112,0,0
"656","06037218701",831,12,1.44404332129964
"657","06037218702",821,17,2.07064555420219
"658","06037218800",789,17,2.15462610899873
"659","06037218900",1922,39,2.02913631633715
"660","06037219010",798,11,1.37844611528822
"661","06037219020",1224,8,0.65359477124183
"662","06037219300",1396,0,0
"663","06037219500",741,55,7.42240215924426
"664","06037219700",1314,2,0.15220700152207
"665","06037219800",950,0,0
"666","06037219901",1454,9,0.61898211829436
"667","06037219902",1184,0,0
"668","06037220000",1952,12,0.614754098360656
"669","06037220100",1026,26,2.53411306042885
"670","06037221110",1082,29,2.68022181146026
"671","06037221120",822,0,0
"672","06037221210",873,4,0.458190148911798
"673","06037221220",992,0,0
"674","06037221302",1244,0,0
"675","06037221303",767,13,1.69491525423729
"676","06037221304",1119,8,0.714924039320822
"677","06037221401",1329,0,0
"678","06037221402",952,23,2.41596638655462
"679","06037221500",1207,0,0
"680","06037221601",915,11,1.20218579234973
"681","06037221602",769,0,0
"682","06037221710",901,0,0
"683","06037221810",927,0,0
"684","06037221820",1023,8,0.782013685239492
"685","06037221900",879,0,0
"686","06037222001",847,18,2.12514757969303
"687","06037222002",1180,0,0
"688","06037222100",1131,33,2.91777188328912
"689","06037222200",1190,16,1.34453781512605
"690","06037222500",1319,13,0.985595147839272
"691","06037222600",1515,0,0
"692","06037222700",136,0,0
"693","06037224010",1047,8,0.764087870105062
"694","06037224020",756,0,0
"695","06037224200",668,10,1.49700598802395
"696","06037224310",621,0,0
"697","06037224320",1022,0,0
"698","06037224410",1006,20,1.98807157057654
"699","06037224420",687,7,1.01892285298399
"700","06037224600",841,9,1.07015457788347
"701","06037224700",827,0,0
"702","06037226001",480,0,0
"703","06037226002",720,0,0
"704","06037226410",804,7,0.870646766169154
"705","06037226420",1107,0,0
"706","06037226700",1282,0,0
"707","06037227010",955,17,1.78010471204188
"708","06037227020",661,0,0
"709","06037228100",1025,0,0
"710","06037228210",850,0,0
"711","06037228220",918,0,0
"712","06037228310",867,23,2.65282583621684
"713","06037228320",742,0,0
"714","06037228410",731,0,0
"715","06037228420",681,13,1.90895741556535
"716","06037228500",1017,11,1.08161258603736
"717","06037228600",959,0,0
"718","06037228710",926,0,0
